一 ichi "one; best"
労働 roudou "manual labor, manual labour, toil, work"
働き hataraki "work, labor, labour; achievement, performance, ability, talent"
働く hataraku "to work, to labor, to labour; to function, to operate, to be effective, to work (i.e. ... works), to come into play"
監督 kantoku "supervision, control, superintendence, direction; director, superintendent, supervisor, coach, foreman, manager, overseer, controller, boss"
総督 soutoku "governor-general, governor, viceroy"
提督 teitoku "admiral, commodore"
整頓 seiton "orderliness, put in order, tidying up, arranging neatly"
頓挫 tonza "setback, deadlock, being at a standstill or impasse"
無頓着 mutonchaku "indifferent, unconcerned, paying no attention to, careless"
農業 nougyou agriculture
農家 nouka "farmer, farming family; farmhouse"
農薬 nouyaku "agricultural chemical (i.e. pesticide, herbicide, fungicide, etc.), agrochemical, agrichemical"
砂漠 sabaku desert
サハラ砂漠 saharasabaku "Sahara Desert"
茫漠 boubaku "boundless, vast, vague, obscure"
鉢 hachi "bowl, pot, basin; flowerpot"
鉢植え hachiue "potted plant"
植木鉢 uekibachi "flowerpot, plant pot"
搬入 hannyuu "carrying in (esp. heavy objects, artwork, furniture), bringing in, taking in"
運搬 unpan "transport, transportation, conveyance, carriage"
搬送 hansou "transportation, conveyance, delivery; hospitalization, transfer to hospital"
煩雑 hanzatsu "complex, intricate, complicated, confused, troublesome, vexatious, cumbersome"
煩悩 bonnou "worldly desires, evil passions, appetites of the flesh; klesha (polluting thoughts such as greed, hatred and delusion, which result in suffering)"
煩わしい wazurawashii "troublesome, annoying, complicated"
頒布 hanpu "distribution, circulation"
微妙 bimyou "subtle, delicate, fine; difficult, complex, tricky, delicate (situation, position, etc.), close (e.g. decision)"
微 bi "minuteness; one millionth"
微か kasuka "faint, dim, weak, slight, vague, indistinct, hazy; poor, wretched, meagre, meager, scanty"
福岡 fukuoka "Fukuoka (city)"
幸福 koufuku "happiness, well-being, joy, welfare, blessedness"
福祉 fukushi "welfare, well-being, social welfare, social security, social service"
お腹 onaka "belly, abdomen, stomach"
腹 hara "abdomen, belly, stomach; womb"
腹筋 fukkin "sit-up; abdominal muscles, abs"
墓 haka "gravesite, tomb"
墓参り hakamairi "visit to a grave"
墓地 bochi "cemetery, graveyard"
蜂 hachi "bee, wasp, hornet"
蜂蜜 hachimitsu honey
蜂起 houki "uprising, revolt"
豊か yutaka "abundant, wealthy, plentiful, rich, affluent; very, extremely, full of, great"
豊富 houfu "abundant, plentiful, rich, ample"
豊作 housaku "abundant harvest, bumper crop"
飽き aki "weariness, boredom, tedium, tiresomeness"
飽きる akiru "to get tired of, to lose interest in, to be fed up with, to have enough"
飽和 houwa "saturation, satiation"
親睦 shinboku "friendship, amity"
和睦 waboku "reconciliation, peace, rapprochement"
字幕 jimaku "subtitles, captioning"
幕 maku "curtain, bunting; act (in play)"
開幕 kaimaku "raising the curtain; opening (of an event), start of a season"
夢 yume dream
夢中 muchuu "absorbed in, immersed in, crazy about, obsessed with, devoted to; forgetting oneself, daze, trance, ecstasy, delirium"
夢見 yumemi "having a dream"
同盟 doumei "alliance, union, league"
連盟 renmei "league, federation, union, alliance"
加盟 kamei "joining (an association, agreement, etc.), participation, affiliation, accession"
消滅 shoumetsu "extinction, extinguishment, disappearance, vanishing, termination, lapse; annihilation"
滅多 metta "thoughtless, reckless, careless, rash; seldom, rare"
壊滅 kaimetsu "destruction, annihilation, devastation, catastrophe"
名誉 meiyo "honor, honour, credit, prestige"
栄誉 eiyo "honour, honor"
不名誉 fumeiyo "dishonor, dishonour, disgrace, shame"
預け azuke "custody, keeping"
預金 yokin "deposit, bank account"
預かり azukari "under custody, under supervision; undecided match, draw, tie"
溶融 youyuu "melting, fusion"
溶ける tokeru "to melt, to thaw, to fuse, to dissolve"
溶接 yousetsu "weld, welding"
腰 koshi "back, lower back, waist, hips, lumbar region; body (of hair, noodle, paper, etc.), resilience, spring"
腰痛 youtsuu "lower back (or hip) pain, lumbago"
腰掛け koshikake "seat, bench; temporary job while looking for a better job or until one marries"
裸 hadaka "nakedness, nudity; bareness, nakedness, baldness, being uncovered"
全裸 zenra nude
裸足 hadashi "barefoot; superior to (a professional, etc. in ability or achievement)"
雷 kaminari "lightning, thunder, thunderbolt; god of thunder, god of lightning"
雷神 raijin "god of thunder"
地雷 jirai "land mine; topic that sets someone off, sensitive topic, taboo topic, trigger"
酪農 rakunou "dairy farming"
乾酪 kanraku cheese
牛酪 gyuuraku butter
裏 ura "opposite side, bottom, other side, side hidden from view, undersurface, reverse side; rear, back, behind"
裏側 uragawa "the reverse, other side, lining"
脳裏 nouri "one's mind"
戦慄 senritsu "shudder, shiver, trembling with fear"
慄然 ritsuzen "terrified, horrified"
虜 toriko "captive, prisoner; victim (of love, etc.), slave (to one's lust, etc.)"
捕虜 horyo "prisoner (of war)"
俘虜 furyo "captive, prisoner of war"
鈴 suzu "bell (often globular)"
風鈴 fuurin "wind chime, wind bell"
鈴虫 suzumushi "bell cricket (Meloimorpha japonicus)"
零 rei "zero, nought"
零細 reisai "insignificant, trifling, paltry, cottage (industry), tiny (company)"
零余子 mukago "bulbil (esp. of a Japanese yam), propagule, brood bud"
廉価 renka "low price, moderate price"
廉 kado "charge, grounds, suspicion"
破廉恥 harenchi "shameless, infamous, disgraceful"
賄賂 wairo "bribe, sweetener, douceur"
道路 douro "road, highway"
回路 kairo "circuit (electric); cycle (e.g. Krebs cycle)"
路 ji "route, road; distance travelled in a day"
楼 rou "tower, tall building, turret, lookout, belvedere"
鐘楼 shourou "belfry, bell tower"
蜃気楼 shinkirou mirage
話 hanashi "talk, speech, chat, conversation; (made-up) story, tale, yarn"
電話 denwa "telephone call, phone call"
お話 ohanashi "story, tale"
賄賂 wairo "bribe, sweetener, douceur"
賄う makanau "to supply (goods, money, etc.), to cover (costs), to pay, to finance, to maintain (e.g. a family); to give board, to provide meals"
賄い makanai "boarding, board, meals, catering, cook"
維持 iji "maintenance, preservation, improvement"
繊維 sen'i "fibre, fiber, textile"
明治維新 meijiishin "Meiji Restoration"
隠し kakushi "hiding, concealing, being hidden, being concealed; pocket"
隠れ kakure "hidden, concealed, unknown, crypto-; passing away, dying, death"
隠す kakusu "to hide, to conceal"
駅 eki "railway station, train station; staging post on a highway (in pre-modern Japan)"
駅前 ekimae "in front of a station"
最寄り駅 moyorieki "nearest station"
演奏 ensou "musical performance"
出演 shutsuen "performance, appearance (in a stage, film, TV show, etc.)"
演出 enshutsu "production (e.g. play), direction"
寡黙 kamoku "untalkative, quiet, taciturn, reticent, uncommunicative"
寡占 kasen oligopoly
寡聞 kabun "having little knowledge (of), being ill-informed"
歌 uta "song; classical Japanese poetry (esp. tanka)"
歌詞 kashi "song lyrics, words of a song, libretto"
歌う utau "to sing; to sing (one's praises in a poem, etc.), to compose a poem, to recite a poem"
箇所 kasho "passage, place, point, part"
箇条 kajou "item, article, clause, section, point"
箇 ka "counter for the ichi-ni-san counting system (usu. directly preceding the item being counted), a noun read using its on-yomi"
概念 gainen "general idea, concept, notion"
概要 gaiyou "outline, summary, overview, abridgment, synopsis"
概ね oomune "in general, generally, mostly, roughly, largely, mainly, on the whole, by and large; gist, point, main idea"
内閣 naikaku "cabinet (of a government), ministry"
閣僚 kakuryou "cabinet ministers"
閣議 kakugi "cabinet meeting"
慣れ nare "practice, practising, experience"
習慣 shuukan "habit; custom, cultural practice"
慣れる nareru "to get used to, to grow accustomed to, to become familiar with; to become skilled in, to become experienced at"
管理 kanri "control, management (e.g. of a business)"
管 kan "pipe, tube"
保管 hokan "charge, custody, safekeeping, deposit, storage"
関係 kankei "relation, relationship, connection; participation, involvement, concern"
に関して nikanshite "related to, in relation to, as far as ... is concerned"
関連 kanren "relation, connection, relevance"
旗 hata "flag; pataka (banner)"
国旗 kokki "national flag"
旗艦 kikan flagship
疑問 gimon "doubt, question, suspicion, dubiousness"
容疑 yougi "suspicion, charge"
疑い utagai "doubt, question, uncertainty, skepticism, scepticism, suspicion, distrust"
漁師 ryoushi fisherman
漁業 gyogyou "fishing (industry)"
漁 ryou "fishing, gathering seafood (e.g. clams, seaweed); catch (e.g. of fish), haul"
環境 kankyou "environment, circumstance"
国境 kokkyou "national border, provincial border"
境界 kyoukai boundary
銀行 ginkou bank
銀 gin "silver (Ag); silver coin, money"
銀座 ginza "Ginza (shopping district in Tokyo); (Edo period) silver mint"
駆使 kushi "free use; to use freely, to make free use of, to have good command (e.g. of a language)"
駆動 kudou "driving force"
駆け kake "canter, gallop"
熊 kuma "bear (any mammal of family Ursidae)"
白熊 shirokuma "polar bear (Ursus maritimus)"
小熊 koguma "small bear, bear cub"
英語 eigo "English (language)"
日本語 nihongo "Japanese (language)"
語 go "language; word"
誤解 gokai misunderstanding
試行錯誤 shikousakugo "trial and error"
誤り ayamari "error, mistake, slip, bug"
結構 kekkou "splendid, nice, wonderful, delicious, sweet; sufficient, fine (in the sense of ""I'm fine""), (by implication) no thank you"
構成 kousei "organization, organisation, configuration, composition"
構造 kouzou "structure, construction, makeup, framework, organization, pattern"
横綱 yokozuna "yokozuna (highest rank in sumo), grand champion; best in its field, crème de la crème, cream of the crop"
綱 tsuna "rope; grand champion's braided belt"
綱渡り tsunawatari "tightrope walking, high-wire act, funambulism; treading a tightrope, walking on thin ice, pulling a risky balancing act"
発酵 hakkou "fermentation, zymosis"
酵母 koubo "yeast, leaven"
酵素 kouso enzyme
豪華 gouka "wonderful, gorgeous, splendor, splendour, pomp, extravagance"
富豪 fugou "wealthy person, millionaire"
豪雨 gouu "torrential rain, heavy rain, cloudburst, downpour"
穀物 kokumotsu "grain, cereal, corn"
雑穀 zakkoku "assorted grains, cereals; millet"
脱穀 dakkoku "threshing (e.g. rice)"
酷い hidoi "cruel, heartless, hard, harsh, severe; violent, intense, strong, heavy, extreme"
過酷 kakoku "severe, harsh, hard, cruel, rigorous"
残酷 zankoku "cruelty, harshness"
地獄 jigoku hell
脱獄 datsugoku "prison breaking, jailbreak, gaolbreak"
獄 goku "jail, gaol, prison"
魂 tamashii "soul, spirit"
入魂 nyuukon "putting one's heart and soul into, putting one's all into"
霊魂 reikon "soul, spirit"
実際 jissai "practicality, practical; reality, actuality, actual conditions"
際 kiwa "edge, brink, verge, side; time, moment of"
国際 kokusai international
警察 keisatsu police
観察 kansatsu "observation, survey, watching"
診察 shinsatsu "medical examination"
雑誌 zasshi "journal, magazine, periodical"
複雑 fukuzatsu "complex, complicated, intricate, mixed (feelings)"
雑貨 zakka "miscellaneous goods, general goods, sundries"
計算 keisan "calculation, reckoning, count; forecast"
予算 yosan "estimate, budget"
換算 kansan "conversion (e.g. yen to dollars), change, exchange, translation (numerical)"
酸 san "acid; sourness, sour taste"
酸素 sanso "oxygen (O)"
酸味 sanmi "sourness, acidity"
雑誌 zasshi "journal, magazine, periodical"
誌上 shijou "in a magazine"
誌面 shimen "page of a magazine"
雌 mesu "female (animal, plant)"
雌雄 shiyuu "male and female (animals), the two sexes; victory and defeat, strengths and weaknesses"
雌花 mebana "female flower"
電磁波 denjiha "electromagnetic wave"
磁気 jiki magnetism
磁石 jishaku "magnet; compass"
漆黒 shikkoku "jet black"
漆 urushi "lacquer, varnish, japan; lacquer tree (Toxicodendron vernicifluum)"
漆器 shikki "lacquer ware, lacquerware, lacquer work, lacquerwork"
遮断 shadan "isolation, cut off, blockade, quarantine, interception, deprivation"
遮蔽 shahei "shielding, sheltering, screening, shading, masking"
遮る saegiru "to interrupt, to obstruct (a view, someone's way, etc.), to block (light, wind, etc.), to intercept, to cut off"
種類 shurui "variety, kind, type, category; counter for kinds, species, etc."
種 shu "kind, variety; (biological) species"
機種 kishu "type of equipment, model"
需要 juyou "demand, request"
必需 hitsuju necessary
需給 jukyuu "supply and demand"
銃 juu "gun, rifle, small arms"
銃撃 juugeki "shooting, gunning (down)"
拳銃 kenjuu "pistol, handgun, revolver"
塾 juku "coaching school, cramming school, juku"
塾生 jukusei "private-school student"
塾長 jukuchou "principal of a private school"
一緒 issho "together; at the same time"
内緒 naisho "secrecy, confidentiality, privacy, secret; one's circumstances (esp. fiscal)"
情緒 joucho "emotion, feeling; atmosphere, mood, spirit"
表彰 hyoushou "public acknowledgment, public acknowledgement, public recognition, commendation, awarding"
表彰台 hyoushoudai "victory stand, winners' podium"
顕彰 kenshou "honouring (publicly), honoring, making someone's good deeds or achievements well-known"
障害 shougai "obstacle, impediment, hindrance, difficulty, barrier; handicap, impairment, disability, disorder, malfunction"
故障 koshou "breakdown, failure, fault, accident, out of order; damage, hurt"
支障 shishou "obstacle, hindrance, impediment, difficulty"
精神 seishin "mind, spirit, soul, heart, ethos; attitude, mentality, will, intention"
精度 seido "precision, accuracy"
精一杯 seiippai "the best one can do, one's best effort; with all one's might, to the best of one's ability"
製品 seihin "manufactured goods, finished goods, product"
製 sei "-made, make"
製作 seisaku "manufacture, production"
誓い chikai "oath, vow"
誓う chikau "to swear, to vow, to take an oath, to pledge"
誓約 seiyaku "written vow, pledge, covenant"
静か shizuka "quiet, silent; slow, unhurried"
冷静 reisei "calmness, composure, coolness, serenity, presence of mind"
静岡 shizuoka "Shizuoka (city)"
説明 setsumei "explanation, exposition"
小説 shousetsu "novel, (short) story"
解説 kaisetsu "explanation, commentary, exposition, elucidation"
処方箋 shohousen prescription
付箋 fusen "tag, slip, label"
便箋 binsen "writing paper, stationery"
金銭 kinsen "money, cash"
銭 sen "hundredth of a yen; coin made of non-precious materials"
小銭 kozeni "small change, coins; small sum of money"
漸く youyaku "finally, at last; barely, narrowly, hardly, only just"
漸 zen "gradual progress"
漸進 zenshin "gradual progress, steady advance"
遡る sakanoboru "to go upstream; to go back (in time, to origin), to date back to, to trace back to, to make retroactive"
遡及 sokyuu "tracing back, retroactivity"
層 sou "layer, seam, bed, stream, class, stratum; sheaf"
一層 issou "much more, still more, all the more, more than ever; single layer (or storey, etc.)"
階層 kaisou "class, level, stratum, layer, hierarchy"
総 sou "whole, all, general, gross, entire, overall"
総合 sougou "synthesis, coordination, putting together, integration, composite; comprehensive"
総理 souri "leading, overseeing, leader, overseer, president"
遭遇 souguu "encounter, being confronted with (e.g. difficulty), meeting with (e.g. accident)"
遭難 sounan "disaster, accident, shipwreck, distress"
画像 gazou "image, picture, portrait"
想像 souzou "imagination, guess"
映像 eizou "image (on a screen), picture (e.g. on a TV); video, film, footage"
増える fueru "to increase, to multiply"
増加 zouka "increase, rise, growth, addition, increment"
増やし fuyashi increase
憎しみ nikushimi hatred
生憎 ainiku "unfortunately, Sorry, but ..."
憎悪 zouo "hatred, abhorrence, loathing, detestation"
遜色 sonshoku inferiority
謙遜 kenson "modesty, humility, being humble"
不遜 fuson "arrogance, insolence, disrespect"
無駄 muda "futility, waste, uselessness, pointlessness, idleness"
駄目 dame "no good, not serving its purpose, useless, broken; hopeless, wasted, in vain, purposeless"
無駄遣い mudazukai "waste (of money, time, etc.), squandering, frittering away"
状態 joutai "current status, condition, situation, circumstances, state"
事態 jitai "situation, (present) state of affairs, circumstances"
態度 taido "attitude, manner, behaviour"
奪う ubau "to snatch away, to dispossess, to steal"
略奪 ryakudatsu "pillage, plunder, looting, robbery"
剥奪 hakudatsu "stripping (of rights, office, etc.), deprivation, divestiture, forfeit, revocation"
端末 tanmatsu "end (e.g. of a roll of film)"
極端 kyokutan "extreme, extremity"
端 hashi "end (e.g. of street), tip, point, edge, margin; beginning, start, first"
破綻 hatan "failure, collapse, breakdown, break-up, bankruptcy"
綻び hokorobi "open seam, seam that has come apart, tear"
嫡子 chakushi "legitimate child"
嫡出 chakushutsu "legitimate birth"
特徴 tokuchou "feature, trait, characteristic, peculiarity, distinction"
象徴 shouchou "(abstract) symbol, emblem, representation"
徴収 choushuu "collection (of fees, taxes, etc.), levy"
漬け zuke "pickled (something); pickled in (something), preserved in, dipped in"
漬物 tsukemono tsukemono
塩漬け shiozuke "pickling in salt; leaving unchanged, leaving unused"
指摘 shiteki "pointing out, identification"
摘み tsumami "knob, handle, button; (file) handle"
摘出 tekishutsu "picking out, taking out, (surgical) removal; exposure"
点滴 tenteki "raindrops, falling drop of water; intravenous drip, IV, drip-feed"
滴 shizuku "drop (e.g. of water), drip"
水滴 suiteki "drop of water; vessel for replenishing inkstone water"
適当 tekitou "suitable, proper, appropriate, adequate, fit, fair; perfunctory, half-minded, sloppy, lazy, careless, noncommittal, unreliable, irresponsible"
適用 tekiyou "applying (e.g. a technology), adoption"
快適 kaiteki "pleasant, agreeable, comfortable"
稲 ine "rice plant"
早稲田 waseda "field of early-blooming (or ripening) rice"
稲荷 inari "Inari (god of harvests, Uka-no-Mitama); Inari shrine, Fushimi Inari shrine (in Kyoto)"
銅 dou "copper (Cu)"
銅像 douzou "bronze statue"
銅メダル doumedaru "bronze medal"
道徳 doutoku morals
徳 toku "virtue; benevolence"
悪徳 akutoku "vice, immorality, corruption"
読み yomi reading
読む yomu "to read; to count"
読者 dokusha reader
確認 kakunin "confirmation, verification, validation, review, check, affirmation, identification"
認識 ninshiki "recognition, awareness, perception, understanding, knowledge, cognition, cognizance, cognisance"
認め mitome "approval, acceptance, recognition, acknowledgement"
丁寧 teinei "polite, courteous, civil; careful, close, thorough, conscientious"
寧ろ mushiro "rather, better, instead"
安寧 annei "peace (esp. public peace)"
髪 kami "hair (on the head)"
髪の毛 kaminoke "hair (head)"
金髪 kinpatsu "blond hair"
罰 bachi "(divine) punishment, curse, retribution"
罰金 bakkin "fine, penalty"
罰則 bassoku "punishment, penalty; penal regulations, penal code"
派閥 habatsu "clique, faction"
財閥 zaibatsu "zaibatsu, financial conglomerate, industrial group"
閥 batsu "clique, clan, faction"
碑 ishibumi "stone monument bearing an inscription (esp. memorial for future generations), stele, stela"
石碑 sekihi "stone monument"
句碑 kuhi "slab with a haiku cut on it"
鼻 hana nose
鼻水 hanamizu "nasal mucus, dripping nose, snot"
鼻血 hanaji nosebleed
漂う tadayou "to drift, to float; to waft (e.g. a scent), to hang in the air"
漂流 hyouryuu "drifting, drift, being adrift"
漂泊 hyouhaku "roaming, drifting about, wandering"
豆腐 toufu "tofu, bean curd, beancurd"
腐敗 fuhai "decomposition, putrefaction, putrescence, spoilage; corruption, degeneracy, decay, depravity"
陳腐 chinpu "stale, hackneyed, cliched"
複数 fukusuu "plural, multiple, several"
複雑 fukuzatsu "complex, complicated, intricate, mixed (feelings)"
複合 fukugou "composite, combined, complex"
聞く kiku "to hear; to listen (e.g. to music)"
聞き kiki "hearing, audible sound; rumour, rumor, hearsay, reputation"
新聞 shinbun newspaper
軽蔑 keibetsu "scorn, disdain, contempt"
蔑ろ naigashiro "(a) slight, disrespect, making light (of), neglect"
侮蔑 bubetsu "scorn, disdain, contempt, slight"
思慕 shibo "yearning, longing for, deep affection"
慕う shitau "to yearn for, to long for, to pine for, to miss, to love dearly, to adore; to follow (someone)"
慕情 bojou "longing, yearning"
暮らし kurashi "life, living, livelihood, life circumstances"
暮らす kurasu "to live, to get along; to spend (time)"
暮れ kure "sunset, sundown, nightfall, dusk; end, close"
変貌 henbou "transfiguration, transformation, change of appearance"
全貌 zenbou "whole story, full picture, full particulars"
風貌 fuubou "looks, appearance"
僕 shimobe "servant, manservant, menial"
僕ら bokura we
僕たち bokutachi we
墨 sumi "sumi, India ink, Chinese ink, ink stick, ink-cake; squid ink, octopus ink"
お墨付き osumitsuki "handwriting, autograph, authorization, authorisation; certificate, certified document, paper with signature of the shogun or lord"
墨画 bokuga "India-ink drawing"
膜 maku "membrane, film"
網膜 moumaku retina
角膜 kakumaku cornea
我慢 gaman "patience, endurance, perseverance, tolerance, self-control, self-denial"
自慢 jiman "pride, boast"
慢性 mansei "chronic (illness)"
漫画 manga "cartoon, comic, comic strip"
漫才 manzai "manzai, comic dialogue"
浪漫 rouman "romance (e.g. Arthurian romances), heroic tale; (nigh) impossible dream, adventurous spirit, great undertaking, epic adventure"
蜜 mitsu "nectar; honey"
蜂蜜 hachimitsu honey
蜜柑 mikan "mandarin orange (esp. the satsuma mandarin, Citrus unshiu)"
銘柄 meigara "brand, make, description; trading name of stocks and securities"
感銘 kanmei "deep impression"
銘 mei "inscription, epitaph; (manufacturer's) engraved signature"
鳴る naru "to sound, to ring, to resound, to echo, to roar, to rumble"
鳴り nari "ringing, sound"
耳鳴り miminari "buzzing in the ears, tinnitus"
綿 men cotton
綿密 menmitsu "minute, detailed, careful, scrupulous, thorough"
木綿 momen "cotton (material); red silk-cotton tree (Bombax ceiba)"
規模 kibo "scale, scope, plan, structure"
模様 moyou "pattern, figure, design; state, condition"
模索 mosaku "groping (for), exploring for a solution"
網 ami "net, netting; web"
網膜 moumaku retina
網羅 moura "encompassing, covering (exhaustively), including (all of), comprising, comprehending"
誘導 yuudou "guidance, leading, induction, introduction, incitement, inducement"
勧誘 kan'yuu "invitation, solicitation, canvassing, canvasing, inducement, persuasion, encouragement"
誘い sasoi "invitation, introduction; temptation"
様 zama "-ways, -wards; in the act of ..., just as one is ..."
様子 yousu "state, state of affairs, situation, circumstances; appearance, look, aspect"
様々 samazama "varied, various"
腫瘍 shuyou "tumor, tumour, neoplasm, neoplasia"
胃潰瘍 ikaiyou "stomach ulcer"
潰瘍 kaiyou ulcer
踊り odori dance
踊る odoru "to dance (orig. a hopping dance)"
盆踊り bon'odori "Bon Festival dance, Lantern Festival dance"
辛辣 shinratsu "bitter (e.g. criticism), sharp, biting, severe, scathing, harsh"
悪辣 akuratsu "crafty, vicious, unscrupulous, sharp"
同僚 douryou "coworker, co-worker, colleague, associate"
官僚 kanryou "bureaucrat, government official, bureaucracy"
閣僚 kakuryou "cabinet ministers"
大統領 daitouryou "president (of a nation or company), chief executive; big man, boss, buddy, mate"
領域 ryouiki "area, domain, territory, field, range, region, regime"
要領 youryou "point, gist, essentials, tenets, outline; knack, trick, the ropes"
緑 midori "green; greenery (esp. fresh verdure)"
緑色 midoriiro "green, emerald green, green color of new foliage, verdure"
緑茶 ryokucha "green tea, Japanese tea"
浄瑠璃 joururi jōruri
瑠璃 ruri "lapis lazuli"
人形浄瑠璃 ningyoujoururi "Japanese puppet theatre in which recited narrative and dialog is accompanied by a shamisen (forerunner of bunraku)"
暦 koyomi "calendar, almanac"
還暦 kanreki "60th birthday"
西暦 seireki "Common Era, CE, Christian Era, anno domini, AD; Western (Gregorian) calendar"
歴史 rekishi history
履歴 rireki "personal history, background, career; log, record"
歴 reki "history of, experience of"
練習 renshuu "practice, practising"
訓練 kunren "training, drill, practice, discipline"
洗練 senren "polish, refinement"
漏れ more "leakage; omission, oversight"
漏洩 rouei "leak (of secrets, information, etc.), disclosure, divulging; leak (of gas, liquid, etc.), leakage, escape (of gas), coming through (of light)"
漏れる moreru "to leak out, to escape, to come through, to shine through, to filter out; to find expression, to give vent"
慰め nagusame "comfort, consolation, diversion"
慰安 ian "solace, relaxation"
慰霊 irei "consoling the spirits of the dead"
遺伝子 idenshi "gene; genetic"
遺産 isan "inheritance, bequest, legacy, heritage"
遺跡 iseki "historic ruins (remains, relics), archeological site"
影響 eikyou "influence, effect; to influence, to affect, to have an influence on, to impact, to have an effect on"
撮影 satsuei "photography (still or motion), photographing, filming, shooting, (video) recording"
影 kage "shadow, silhouette, figure, shape; reflection, image"
鋭い surudoi "sharp (blade), pointed; sharp (pain), stabbing, cutting (remark), stinging, pointed (question or look), screeching (noise)"
新鋭 shin'ei "young and energetic, up-and-coming, new and excellent, newly produced, up-and-comer"
精鋭 seiei "elite, best, pick, cream of the crop"
謁見 ekken "audience (with a superior, e.g. nobility)"
拝謁 haietsu "having an audience with someone of very high social standing (e.g. the emperor)"
閲覧 etsuran "inspection, reading, perusal; browsing (the web)"
検閲 ken'etsu "censorship, inspection, examination"
閲読 etsudoku "reading, perusal"
縁 yukari "connection (to a person, place, etc.), relation, affinity"
無縁 muen "unrelated, irrelevant, indifferent; without relations (esp. of a deceased person), having no surviving relatives"
縁起 engi "omen, sign of luck; origin, history, causation"
横 yoko "horizontal (as opposed to vertical), lying down; side-to-side (as opposed to front-to-back), width, breadth"
横浜 yokohama "Yokohama (city)"
横断 oudan "crossing, traversing; traversing horizontally, passing west to east (or east to west)"
億 oku "10^8, 100,000,000, hundred million"
億劫 okkuu "troublesome, bothersome, tiresome, annoying"
億ション okushon "apartment costing 100 million yen or more, luxury apartment"
稼働 kadou "operation (of machine), operating, running, working"
稼ぐ kasegu "to earn (income), to make (money); to score (points, victory), to gain (time), to play (for time)"
稼ぎ kasegi earnings
課題 kadai "subject, theme, issue, matter; homework, assignment"
課税 kazei taxation
課 ka "lesson; section (in an organization), division, department"
飢餓 kiga "starvation, famine, hunger"
餓死 gashi "(death from) starvation, starving to death"
餓鬼 gaki "brat, kid, urchin, little devil; preta, hungry ghost"
潰す tsubusu "to smash, to crush, to flatten; to shut down, to put out of business, to force (a company) to close up shop"
潰れる tsubureru "to be crushed, to be smashed, to be broken, to collapse; to become useless, to cease functioning, to be wasted (e.g. time)"
胃潰瘍 ikaiyou "stomach ulcer"
確認 kakunin "confirmation, verification, validation, review, check, affirmation, identification"
確か tashika "sure, certain, positive, definite; reliable, trustworthy, safe, sound, firm, accurate, correct, exact"
確実 kakujitsu "certainty, reliability, soundness"
新潟 niigata "Niigata (city)"
干潟 higata "tidal flat, tideland"
潟 kata lagoon
歓迎 kangei "welcome, reception"
歓声 kansei "cheer, shout of joy"
歓喜 kanki "delight, great joy"
監督 kantoku "supervision, control, superintendence, direction; director, superintendent, supervisor, coach, foreman, manager, overseer, controller, boss"
監視 kanshi "monitoring, watching, observation, surveillance, guarding, supervision, lookout"
監査 kansa "inspection, audit, judgement, judgment"
緩和 kanwa "relief, mitigation, alleviation, relaxation (of restrictions, tensions, etc.), easing, softening"
緩やか yuruyaka "loose, slack; gentle (slope, curve), slow (speed)"
緩い yurui "loose; lenient, lax"
器 utsuwa "bowl, vessel, container; ability, capacity, calibre, caliber"
武器 buki "weapon, arms, ordnance; weapon (something used to gain an advantage), asset"
機器 kiki "device, equipment, machinery, apparatus"
近畿 kinki "Kinki (region around Osaka, Kyoto, Nara)"
畿内 kinai "territories in the vicinity of the capital and under direct imperial rule, (in Japanese history) the five kuni in the immediate vicinity of Kyoto"
輝き kagayaki "brightness, brilliance, brilliancy, radiance, glitter"
輝く kagayaku "to shine, to glitter, to sparkle"
輝度 kido "brightness, clearness, luminance"
儀式 gishiki "ceremony, rite, ritual, service"
葬儀 sougi "funeral service"
余儀なく yoginaku "unavoidably, necessarily, inevitably"
戯れ tawamure "play, sport, fun, caprice, joke, jest, flirtation"
遊戯 yuugi "game, play, sports"
戯言 tawagoto "nonsense, silly talk, drivel, rubbish"
窮屈 kyuukutsu "narrow, tight, cramped; formal, stiff, strict, ceremonious, rigid"
困窮 konkyuu "poverty, need, destitution; having great difficulty with, struggling greatly with, being in distress"
窮地 kyuuchi "dilemma, predicament"
緊張 kinchou "tension, mental strain, nervousness"
緊急 kinkyuu "urgency, emergency"
緊迫 kinpaku "tension, strain"
勲章 kunshou "decoration, order, medal"
勲 isao "distinguished service, meritorious service"
叙勲 jokun "conferring of decorations"
慶応 keiou "Keiō era (1865.4.7-1868.9.8)"
弁慶 benkei "strong person, person putting on a brave front; bamboo tube with holes drilled in it (used as a stand for kitchen utensils, fans, etc.)"
内弁慶 uchibenkei "someone haughty and boastful at home but meek and reserved outside, being a lion at home and a mouse abroad"
憧憬 doukei "longing, yearning, aspiration, adoration"
稽古 keiko "practice, practising, training, study"
滑稽 kokkei "funny, comical, humorous, laughable; ridiculous, silly, absurd"
荒唐無稽 koutoumukei "absurd, nonsensical, preposterous"
劇 geki "drama, play"
劇場 gekijou "theatre, theater, playhouse"
悲劇 higeki "tragedy, tragic drama, tragic play; tragedy, calamity, disaster"
攻撃 kougeki "attack, assault, raid, onslaught, offensive; criticism, censure, denunciation, condemnation"
衝撃 shougeki "shock, impact, crash"
目撃 mokugeki "witnessing, observing, sighting"
